epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.59930855,1.4993151339872033,1.0,0.10693359375,3.6039535999298096
1,0.7575744,0.7654679039678434,1.0,0.5659340620040894,1.722838044166565
2,0.8237649,0.5391861550606867,1.0,0.6655844449996948,1.1815235614776611
3,0.85037756,0.4756668883001888,1.0,0.7522477507591248,0.8116952180862427
4,0.88426894,0.3369759417390403,1.0,0.8214285969734192,0.6535925269126892
5,0.900737,0.3006634464738758,1.0,0.8788711428642273,0.46769022941589355
6,0.9146575,0.25339799638376276,1.0,0.8254245519638062,0.8239011764526367
7,0.9303521,0.20468308608163835,1.0,0.816683292388916,0.6633276343345642
8,0.9349468,0.19482184819231127,1.0,0.8683816194534302,0.5921053886413574
9,0.9444949,0.16013745857446,1.0,0.8816183805465698,0.5287705063819885
10,0.95320755,0.1423965463313288,1.0,0.8968531489372253,0.38206106424331665
11,0.95892096,0.11875004823781504,1.0,0.8571428656578064,0.3274954557418823
12,0.964107,0.11003858125264852,1.0,0.8289210796356201,0.6565937995910645
13,0.96888363,0.0903250141937488,1.0,0.8546453714370728,0.5265449285507202
14,0.9724775,0.08175367890524914,1.0,0.8908591270446777,0.4556656777858734
15,0.97265947,0.08606219074155276,1.0,0.8973526358604431,0.2740436792373657
16,0.97987825,0.06110785255576809,1.0,0.8693805932998657,0.5072311758995056
17,0.97977036,0.06062720403352222,1.0,0.8998501300811768,0.31627964973449707
18,0.9828496,0.06093686136315663,1.0,0.8923576474189758,0.3283562958240509
19,0.9838959,0.04693042684181882,1.0,0.8833666443824768,0.51295405626297
20,0.9837139,0.049834846857789106,1.0,0.8808691501617432,0.2903175354003906
21,0.9955873,0.016903463125012976,0.31622776,0.9193306565284729,0.37830185890197754
22,0.99708855,0.009392439288005589,0.31622776,0.9275724291801453,0.6710383892059326
23,0.9985443,0.010596139439068224,0.31622776,0.9253246784210205,0.14140604436397552
24,0.9989537,0.005688633251257024,0.31622776,0.9293206930160522,0.4513467252254486
